City,Violence,"Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson
Aberdeen Township,11,0,2,2,7,163,18,137,8,0
Absecon,17,1,1,5,10,181,16,159,6,0
Allendale,3,0,1,0,2,30,4,23,3,0
Allenhurst,0,0,0,0,0,7,0,4,3,0
Allentown,0,0,0,0,0,5,1,4,0,0
Alpha,1,0,1,0,0,38,6,32,0,0
Alpine,1,0,1,0,0,24,4,11,9,0
Andover Township,2,0,0,0,2,14,4,9,1,0
Asbury Park,174,3,10,54,107,653,101,538,14,1
Atlantic City,276,7,11,131,127,"1,181",116,994,71,1
Atlantic Highlands,1,0,0,0,1,40,2,38,0,0
Audubon,0,0,0,0,0,296,28,262,6,0
Audubon Park,4,0,0,0,4,11,4,6,1,0
Avalon,2,0,0,0,2,138,7,130,1,0
Avon-by-the-Sea,1,0,0,0,1,31,3,26,2,0
Barnegat Light,0,0,0,0,0,12,1,11,0,0
Barnegat Township,13,0,5,1,7,120,25,92,3,0
Barrington,5,0,0,0,5,113,16,94,3,1
Bay Head,0,0,0,0,0,17,3,13,1,0
Bayonne,114,0,12,47,55,773,97,587,89,3
Beach Haven,0,0,0,0,0,118,3,114,1,0
Beachwood,6,0,1,5,0,130,19,111,0,0
Bedminster Township,1,0,0,1,0,34,5,26,3,0
Belleville,62,0,1,17,44,589,87,414,88,0
Bellmawr,8,0,0,1,7,158,28,122,8,0
Belmar,6,0,3,2,1,83,16,63,4,0
Belvidere,1,0,0,0,1,47,18,27,2,0
Bergenfield,1,0,0,1,0,76,12,60,4,0
Berkeley Heights Township,4,0,1,0,3,60,14,38,8,0
Berkeley Township,25,0,6,6,13,378,68,300,10,0
Berlin,13,0,2,0,11,123,12,103,8,1
Berlin Township,4,0,1,1,2,163,15,144,4,1
Bernards Township,2,0,0,1,1,87,13,66,8,0
Bernardsville,1,0,0,0,1,39,2,36,1,0
Beverly,7,0,1,0,6,44,20,22,2,0
Blairstown Township,3,0,0,0,3,30,16,13,1,0
Bloomfield,50,2,1,19,28,647,71,488,88,1
Bloomingdale,1,0,0,0,1,37,6,30,1,0
Bogota,2,1,0,1,0,45,8,34,3,0
Boonton,7,0,1,2,4,94,11,79,4,0
Boonton Township,2,0,1,1,0,24,3,20,1,0
Bordentown City,3,0,0,2,1,23,7,11,5,0
Bordentown Township,14,0,3,3,8,99,15,72,12,0
Bound Brook,13,0,2,9,2,114,33,75,6,0
Bradley Beach,1,0,1,0,0,55,2,53,0,0
Branchburg Township,4,0,2,0,2,80,5,70,5,0
Brick Township,65,0,12,8,45,904,113,768,23,4
Bridgeton,203,5,12,107,79,720,163,510,47,2
Bridgewater Township,16,0,0,9,7,331,53,265,13,0
Brielle,0,0,0,0,0,23,4,14,5,0
Brigantine,1,0,0,0,1,129,23,105,1,0
Brooklawn,16,0,3,6,7,132,8,116,8,0
Buena,5,0,0,1,4,72,13,58,1,0
Burlington City,37,1,1,10,25,211,60,139,12,0
Burlington Township,35,0,7,10,18,274,45,218,11,0
Butler,0,0,0,0,0,50,11,37,2,0
Byram Township,3,0,1,0,2,45,4,40,1,0
Caldwell,5,0,2,0,3,49,16,31,2,0
Califon,0,0,0,0,0,0,0,0,0,0
Camden County Police Department,"1,198",23,64,355,756,"2,219",458,"1,242",519,40
Cape May,4,0,1,0,3,72,8,62,2,0
Cape May Point,0,0,0,0,0,2,1,1,0,0
Carlstadt,6,0,0,2,4,87,5,79,3,0
Carney's Point Township,16,0,4,7,5,86,23,60,3,1
Carteret,45,1,4,15,25,295,35,236,24,2
Cedar Grove Township,4,0,0,2,2,86,17,63,6,0
Chatham,0,0,0,0,0,39,5,30,4,0
Chatham Township,0,0,0,0,0,33,2,26,5,0
Cherry Hill Township,92,0,0,57,35,"2,026",148,"1,839",39,1
Chesilhurst,3,0,0,0,3,47,22,19,6,1
Chester,0,0,0,0,0,6,0,6,0,0
Chesterfield Township,0,0,0,0,0,14,0,13,1,0
Chester Township,0,0,0,0,0,22,5,14,3,0
Cinnaminson Township,14,0,3,3,8,286,42,237,7,0
Clark Township,4,0,0,2,2,227,7,213,7,0
Clayton,10,0,1,3,6,70,7,58,5,0
Clementon,11,0,0,8,3,139,45,87,7,0
Cliffside Park,15,0,5,4,6,150,17,121,12,0
Clifton,97,1,3,43,50,"1,354",162,"1,096",96,1
Clinton,1,0,0,0,1,13,5,7,1,0
Clinton Township,1,0,1,0,0,50,15,34,1,0
Closter,1,0,0,0,1,58,1,49,8,0
Collingswood,30,0,3,13,14,279,51,200,28,2
Colts Neck Township,8,5,0,1,2,51,8,29,14,1
Cranbury Township,0,0,0,0,0,37,1,35,1,0
Cranford Township,7,0,0,2,5,145,7,131,7,0
Cresskill,1,0,0,0,1,47,11,25,11,0
Deal,2,0,0,0,2,23,2,12,9,0
Delanco Township,5,0,3,2,0,47,12,32,3,0
Delaware Township,1,0,0,0,1,14,2,9,3,0
Delran Township,8,0,3,2,3,176,26,143,7,0
Demarest,0,0,0,0,0,21,2,10,9,0
Denville Township,2,0,1,1,0,90,7,77,6,1
Deptford Township,47,2,8,22,15,"1,153",163,954,36,0
Dover,26,0,1,10,15,187,32,141,14,1
Dumont,5,0,0,2,3,49,6,43,0,0
Dunellen,3,0,0,1,2,97,14,82,1,0
Eastampton Township,6,0,1,2,3,59,13,42,4,0
East Brunswick Township,32,0,4,8,20,632,70,553,9,0
East Greenwich Township,4,0,0,0,4,68,12,50,6,0
East Hanover Township,2,0,0,0,2,106,16,83,7,0
East Newark,1,0,0,1,0,44,4,30,10,0
East Orange,333,6,21,133,173,904,168,522,214,9
East Rutherford,14,0,3,3,8,148,15,123,10,0
East Windsor Township,18,0,5,8,5,171,7,160,4,1
Eatontown,30,0,10,8,12,277,17,255,5,0
Edgewater,13,0,0,3,10,137,3,127,7,0
Edgewater Park Township,15,1,3,5,6,126,31,75,20,0
Edison Township,120,2,8,44,66,"1,147",166,899,82,4
Egg Harbor City,9,0,0,4,5,122,35,85,2,0
Egg Harbor Township,62,1,4,10,47,902,114,765,23,5
Elizabeth,897,3,43,386,465,"4,002",602,"2,655",745,7
Elk Township,1,0,0,0,1,34,7,26,1,1
Elmer,0,0,0,0,0,4,0,4,0,0
Elmwood Park,33,0,0,14,19,342,37,284,21,0
Elsinboro Township,0,0,0,0,0,9,3,5,1,1
Emerson,2,0,0,0,2,36,2,32,2,0
Englewood,85,0,6,19,60,281,45,215,21,0
Englewood Cliffs,1,0,0,0,1,62,17,38,7,0
Englishtown,6,0,2,0,4,20,2,15,3,0
Essex Fells,0,0,0,0,0,15,0,11,4,0
Evesham Township,34,0,0,11,23,506,53,445,8,1
Ewing Township,69,0,13,18,38,685,113,511,61,3
"Fairfield Township, Essex County",7,0,0,2,5,176,9,149,18,1
Fair Haven,1,0,0,0,1,23,1,19,3,0
Fair Lawn,19,2,0,4,13,304,39,255,10,0
Fairview,35,0,0,25,10,144,29,109,6,0
Fanwood,1,0,0,1,0,32,7,25,0,0
Far Hills,1,0,1,0,0,6,1,4,1,0
Fieldsboro,1,0,0,0,1,11,3,6,2,0
Flemington,4,0,1,2,1,64,10,50,4,0
Florence Township,13,0,3,2,8,89,30,55,4,0
Florham Park,3,0,0,2,1,65,8,53,4,0
Fort Lee,22,0,3,6,13,271,32,220,19,1
Franklin,5,1,3,0,1,37,1,36,0,0
Franklin Lakes,1,0,0,1,0,59,7,46,6,0
"Franklin Township, Gloucester County",9,0,0,3,6,236,52,171,13,6
"Franklin Township, Hunterdon County",0,0,0,0,0,30,3,27,0,0
"Franklin Township, Somerset County",48,1,12,17,18,670,114,504,52,1
Freehold Borough,16,0,1,7,8,129,41,81,7,0
Freehold Township,41,2,5,9,25,451,26,410,15,0
Frenchtown,1,0,0,0,1,0,0,0,0,0
Galloway Township,73,0,2,8,63,399,90,295,14,1
Garfield,79,0,11,27,41,585,61,480,44,1
Garwood,1,0,0,0,1,32,5,26,1,0
